Designator,LibRef,Comment,Quantity,Supplier 1,Supplier Part Number 1

"C1, C3, C5, C16","CC0805KKX7R5BB106","CAP 10µF ±10% 6.3V 0805 X7R","4","Digi-Key","311-1877-1-ND"
"C2, C4, C6, C7, C10","CC0402KRX7R5BB104","CAP 0.10µF ±10% 6.3V 0402 X7R","5","Digi-Key","311-1701-1-ND"
"C8, C9","CC0402JRNPO9BN120","CAP 12pF ±5% 50V 0402 C0G, NP0","2","Digi-Key","311-1016-1-ND"
"C11","CC0402KRX7R7BB472","CAP 4700pF ±10% 16V 0402 X7R","1","Digi-Key","311-1709-1-ND"
"C12","CC0805KRX7RYBB102","CAP 1nF ±10% 250V 0805 X7R","1","Digi-Key","311-1470-1-ND"
"C13, C14","CC1206KKX7R8BB106","CAP 10µF ±10% 25V 1206 X7R","2","Digi-Key","311-1959-1-ND"
"C15","CC0402KRX7R8BB104","CAP 0.10µF ±10% 25V 0402 X7R","1","Digi-Key","311-2077-1-ND"
"D1, D2, D3, D4, D14","C503B-GCN","C503B-GCN","5","",""
"D5, D6, D7, D8","C503B-RCN","C503B-RCN","4","",""
"D9, D10, D11, D12","C503B-BCN","C503B-BCN","4","",""
"D13","C503B-ACN","C503B-ACN","1","",""
"D15","SMAJ30C","SMAJ30C","1","",""
"D28","PESD1CAN-U","PESD1CAN-U","1","",""
"F1","0ZCJ0035AF2E","0ZCJ0035AF2E","1","",""
"J1","AVR ISP Header","AVR ISP Header","1","",""
"J2, J5, J8, J11","M40-4010346","M40-4010346","4","",""
"J3, J4, J6, J7, J9, J10, J12, J13, J15, J16","M40-4010246","M40-4010246","10","",""
"J14","M40-4010446","M40-4010446","1","",""
"MH1, MH2, MH3, MH4","#6-32 Mounting Hole","#6-32","4","",""
"R1","RC0603FR-072K43L","RES 2K43 1% 1/10 W 0603 ±100ppm/°C","1","Digi-Key","311-2.43KHRCT-ND"
"R2, R3","RC0805FR-0760R4L","RES 60R4 1% 1/8 W 0805 ±100ppm/°C","2","Digi-Key","311-60.4CRCT-ND"
"U1","TLC5944","TLC5944","1","",""
"U2","ATMEGA16M1-15MZ","ATMEGA16M1-15MZ","1","Digi-Key","ATMEGA16M1-15AZCT-ND"
"U3","MCP2557FDT-H/MF","MCP2557FDT-H/MF","1","Digi-Key","MCP2557FDT-H/MFCT-ND"
"U4","LF50ABDT-TRY","LF50ABDT-TRY","1","Digi-Key","497-10199-1-ND"
"X1","7A-16.000MAAE-T","7A-16.000MAAE-T","1","Digi-Key","887-1747-1-ND"
